file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt
OBF8/HE.OBF8..HHN__20250105T045454Z__20250105T045554Z.mseed,HE,OBF8,0,0,0,0,2025-01-05 04:55:35.356000,0.9640491343230069,2025-01-05 04:55:35.356000,0.9640491343230069,2025-01-05 04:54:54,2025-01-05 04:55:54
OBF8/HE.OBF8..HHN__20250105T045454Z__20250105T045554Z.mseed,HE,OBF8,0,0,0,0,2025-01-05 04:56:10.636000,0.6368157563984139,2025-01-05 04:56:10.636000,0.6368157563984139,2025-01-05 04:54:54,2025-01-05 04:55:54
OBF8/HE.OBF8..HHN__20250105T045454Z__20250105T045554Z.mseed,HE,OBF8,0,0,0,0,2025-01-05 04:56:31.076000,0.6989951218229893,2025-01-05 04:56:31.076000,0.6989951218229893,2025-01-05 04:54:54,2025-01-05 04:55:54
OBF8/HE.OBF8..HHN__20250105T045454Z__20250105T045554Z.mseed,HE,OBF8,0,0,0,0,2025-01-05 04:57:03.696000,1.0,2025-01-05 04:57:03.696000,1.0,2025-01-05 04:54:54,2025-01-05 04:55:54
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:56:38.490000,0.5591722132363857,2025-01-05 04:56:38.490000,0.5591722132363857,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:56:56.140000,0.9662767145848349,2025-01-05 04:56:56.140000,0.9662767145848349,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:57:31.290000,1.0,2025-01-05 04:57:31.740000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:57:38.440000,0.6269741000745885,2025-01-05 04:57:38.440000,0.6269741000745885,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:57:58.890000,0.5218116170492302,2025-01-05 04:57:58.890000,0.5218116170492302,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:58:15.640000,1.0,2025-01-05 04:58:15.640000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:58:30.290000,0.8241985054996122,2025-01-05 04:58:30.290000,0.8241985054996122,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:58:35.240000,0.7059216225335967,2025-01-05 04:58:36.990000,0.5741890264570672,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:58:40.190000,0.9564812989595453,2025-01-05 04:58:40.190000,0.9564812989595453,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:58:46.790000,1.0,2025-01-05 04:58:46.790000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:58:50.690000,1.0,2025-01-05 04:58:50.690000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:59:16.190000,1.0,2025-01-05 04:59:16.190000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:59:23.440000,1.0,2025-01-05 04:59:23.440000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:59:31.540000,0.8617601805903579,2025-01-05 04:59:31.540000,0.8617601805903579,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:59:38.740000,1.0,2025-01-05 04:59:38.740000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:59:45.990000,1.0,2025-01-05 04:59:45.990000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 04:59:51.390000,0.6633178805325257,2025-01-05 04:59:51.390000,0.6633178805325257,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 05:00:24.240000,1.0,2025-01-05 05:00:24.240000,1.0,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 05:00:30.590000,0.5315072330280254,2025-01-05 05:00:30.590000,0.5315072330280254,2025-01-05 04:55:00,2025-01-05 04:56:00
OBF0/HE.OBF0..HHN__20250105T045500Z__20250105T045600Z.mseed,HE,OBF0,0,0,0,0,2025-01-05 05:00:44.380000,0.5698172781325104,2025-01-05 05:00:44.380000,0.5698172781325104,2025-01-05 04:55:00,2025-01-05 04:56:00
